State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,,ALE,Unhealthy_Days,LBW,VLBW,Premature,Under_18,Over_40,Unmarried,Late_Care,Infant_Mortality,IM_Wh_Non_Hisp,IM_Bl_Non_Hisp,IM_Hisp,IM_Neonatal,IM_Postneonatal,CHD,Stroke,Total_Births,Total_Deaths,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Salm_Rpt,Shig_Rpt,Toxic_Chem,Carbon_Monoxide_Ind,Nitrogen_Dioxide_Ind,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,FluB_Rpt,HepA_Rpt,HepB_Rpt,Meas_Rpt,Pert_Rpt,CRS_Rpt,Syphilis_Rpt,Pneumo_Vax,Flu_Vac,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind,,LCD_Time_Span,D_Wh_HeartDis,D_Bl_HeartDis,D_Ot_HeartDis,D_Hi_HeartDis,E_Wh_HeartDis,E_Bl_HeartDis,E_Ot_HeartDis,E_Hi_HeartDis,F_Wh_HeartDis,F_Bl_HeartDis,F_Ot_HeartDis,F_Hi_HeartDis
1,71,Jackson,Alabama,AL,53650,50,14.5,23.7,61.7,13.1,1.5,92.6,3.8,1.6,0.3,1.6,,74.5,7.4,9.3,1.6,14.4,4.5,0.6,27.6,13.6,6.4,6.5,-1111.1,-1111.1,4.6,1.8,187.2,63.8,3279,2871,12355,1219,2452,3076,2497,1,18,1,6565659,1,1,1,1,1,1,3,7,0,0,2,0,1,-1111.1,-1111.1,34,82.3,29.4,29.2,37,6.1,7294,7744,1978,70.8,29.8,1,2,,1999-2003,22,-1111,-1111,-1111,29,28,-1111,-1111,37,27,-1111,-1111
1,73,Jefferson,Alabama,AL,657229,591,14.4,25.2,61.4,11.7,1.7,56.8,41.2,0.2,1.1,2.3,,73.6,6.3,10.8,2.4,16,4.7,2,40.2,18.1,11.3,6.4,16.6,8,7.6,3.7,145.6,80.7,27118,21937,83737,12866,25084,36995,31672,12,231,169,13881314,2,1,1,2,1,1,15,25,91,0,19,0,43,63.1,65.9,29,79.1,27.1,31.9,23.4,9.7,87428,89884,21625,154.9,71.5,1,2,,2001-2003,14,16,-1111,-1111,22,23,-1111,-1111,28,27,-1111,-1111
1,77,Lauderdale,Alabama,AL,87691,131,15.6,22.9,61.2,14.3,1.7,88.9,9.7,0.3,0.4,1.2,,76.4,7.4,9.6,1.3,17.6,3.9,1.1,26.9,7.3,5.4,5.7,4.8,-1111.1,2.8,2.6,133.4,71.5,4995,4541,14143,1922,3957,5087,4340,1,45,1,150351,1,1,1,1,1,1,0,2,4,0,4,0,3,67.3,70.1,25.8,77.1,23.8,34.7,21.1,6.7,11424,13168,3134,58.2,49,1,2,,1999-2003,15,14,-1111,-1111,18,32,-1111,-1111,30,30,-1111,-1111
1,81,Lee,Alabama,AL,123254,202,15.1,25.1,66.5,7.6,0.9,74.1,23,0.2,1.8,1.6,,75.3,6.1,7.9,1.8,12.3,4.5,1.7,23.4,14.2,8.3,5.6,15.3,-1111.1,4.6,3.6,164.7,75.1,7131,3852,12989,1982,3886,6997,7710,0,173,37,214408,1,1,1,1,1,1,0,10,3,10,0,0,4,-1111.1,-1111.1,25.9,74.9,21.7,24.5,27.1,7.8,17335,9041,2465,63.3,26,1,2,,1999-2003,11,16,-1111,-1111,26,29,-1111,-1111,31,31,-1111,-1111
1,89,Madison,Alabama,AL,298192,370,10.9,25.5,62.5,10.9,1.1,71.7,23.5,0.8,2.1,2.2,,76.1,6.3,9.2,1.5,15.1,4,2.3,29.3,8.5,9.1,6.5,16.3,-1111.1,5.5,3.6,114.2,60,10693,6626,28690,4944,9467,16746,14705,5,105,17,922380,1,1,1,1,1,1,8,5,20,0,11,0,22,66.3,70.8,22.9,75.6,23.1,24.9,21.3,6.5,35743,32428,5431,95.2,46.6,1,2,,2001-2003,16,21,-1111,-1111,24,27,-1111,-1111,29,26,-1111,-1111
1,95,Marshall,Alabama,AL,85634,151,15.2,25.7,60.4,12.5,1.4,96.6,1.6,0.5,0.4,8.5,,73.9,8.2,8.3,1,14.3,6.8,1,27.9,21.5,7.9,7.9,-1111.1,7.7,4,4,151.9,84.7,6319,4669,17599,1461,3402,4779,3984,3,37,7,220359,1,1,1,1,1,1,1,8,8,0,4,0,7,-1111.1,-1111.1,34.8,82.1,27.5,36.8,31.6,7.2,14593,12686,3083,63.1,33.9,2,2,,1999-2003,24,-1111,-1111,-1111,29,-1111,-1111,-1111,36,31,-1111,-1111
1,97,Mobile,Alabama,AL,401427,326,18.5,27.6,60.3,10.8,1.3,62.2,34.5,0.7,1.6,1.3,,73.5,7,11.3,2.7,18.1,6,1.6,41.4,15,10,7.4,13.7,-1111.1,5.7,4.3,186.8,60.9,17569,11805,59807,8140,9386,21921,19559,3,354,534,21502254,1,1,1,2,1,1,9,3,43,0,6,0,14,64.8,64.9,30.8,76.2,26.6,27.2,25.1,6.6,65687,47123,12197,95.4,38.4,1,2,,2001-2003,12,15,-1111,-1111,25,25,23,-1111,32,34,26,40
1,101,Montgomery,Alabama,AL,221619,281,18,27.3,60.9,10.3,1.5,45.1,52.5,0.2,1.2,1.4,,74.6,6,10.4,2.3,15.9,5.5,1.4,47.9,17.7,9.5,6.1,11.6,-1111.1,6.6,2.9,171.6,56.2,9959,6207,27476,4395,7028,12171,11178,4,186,76,525979,1,1,1,1,1,1,1,10,20,0,11,0,192,61.9,66.1,28.2,75.6,23.9,27.8,20.7,8.5,32259,25495,6378,107.4,49.2,1,2,,2001-2003,19,16,-1111,-1111,21,22,-1111,-1111,30,28,-1111,-1111
1,103,Morgan,Alabama,AL,113740,195,13.2,24.8,62,11.8,1.4,85.7,11.8,0.7,0.7,4.6,,75.2,6.9,8.7,1.5,14.3,5.3,1.3,29,20,5.2,4.9,5.1,7.6,2.5,2.7,127.1,59.5,4421,3171,18217,2266,4163,6428,5407,1,39,11,4780002,1,1,1,1,1,1,1,16,4,0,4,0,10,-1111.1,-1111.1,23.4,74.5,22.5,32.7,28.9,6.7,16097,14763,3367,76.5,41.3,1,2,,2001-2003,15,26,-1111,-1111,30,34,-1111,-1111,31,24,-1111,-1111
1,115,St. Clair,Alabama,AL,72330,114,13.1,24.2,63.7,11,1.1,90.3,8.2,0.4,0.3,1.3,,74.9,8,8.2,1.8,12.5,4.9,1.3,23.3,14.4,9.3,9.2,-1111.1,-1111.1,6.9,2.4,167.4,79.7,4196,3134,14117,1135,3385,4123,3497,2,33,15,208520,1,1,1,1,1,1,5,0,7,0,1,0,5,-1111.1,-1111.1,28.2,79.7,27.6,39,28.5,13,8534,6538,2029,22.1,15.2,2,1,,1999-2003,18,22,-1111,-1111,28,28,-1111,-1111,32,34,-1111,-1111
1,117,Shelby,Alabama,AL,171465,216,6.9,26.2,65.1,8,0.7,88.2,9.4,0.3,1.4,3.1,,76.8,6.1,7.1,1.6,12.7,2,2.1,12.5,12,6.4,4.9,17,-1111.1,4.1,2.3,146.8,67.1,7311,2886,14846,2373,5133,9515,8223,1,40,8,7440897,1,1,1,2,1,1,1,22,1,0,0,0,4,-1111.1,62.8,18.9,78.3,20.8,26.7,21,4.8,13249,10635,2661,95.6,28,1,2,,2001-2003,12,13,-1111,-1111,22,20,-1111,-1111,30,29,-1111,-1111
1,121,Talladega,Alabama,AL,80457,109,16.8,24.9,61.7,12,1.4,67.5,31.4,0.2,0.4,1.1,,73.3,8.4,11.4,2.1,16.6,6.9,0.8,42.2,22.1,10,8.5,13.1,-1111.1,5.5,4.4,154.1,84.3,5411,4456,16423,1723,4701,4547,3867,0,29,7,1344808,1,1,1,1,1,1,1,3,9,0,1,0,63,-1111.1,-1111.1,34.1,79.1,32.7,42.2,24.1,10.9,12378,10035,4300,38.5,21.1,1,2,,1999-2003,19,21,-1111,-1111,31,33,-1111,-1111,32,34,-1111,-1111
1,125,Tuscaloosa,Alabama,AL,168908,128,16.5,25,63.9,9.9,1.2,67.7,30.1,0.2,1.1,1.6,,75,6.9,10.9,2.3,17.8,4.1,1.6,34.3,15.8,12.9,7.4,23,-1111.1,9.7,3.2,161.6,70.5,6587,4532,22290,2786,6263,9557,9241,6,123,83,6160225,1,1,1,1,1,1,1,1,6,0,0,0,7,56.5,59.4,27.1,79,25.3,29.7,23.8,7.9,23311,17734,5539,97.7,32,1,2,,2001-2003,14,19,-1111,-1111,22,30,-1111,-1111,29,31,-1111,-1111
1,127,Walker,Alabama,AL,70117,88,14.8,23.6,61,13.7,1.6,92.5,6.4,0.3,0.2,1.2,,72.2,9.5,8.5,1.8,12.6,5.6,0.9,21,11.6,12.1,10.9,24.5,-1111.1,5.9,6.2,206.2,64.2,4542,4687,15989,1212,4106,4022,3280,0,57,8,6492544,1,1,1,1,1,1,0,1,1,0,1,0,1,-1111.1,-1111.1,34.9,79.3,30.5,35,33.8,11.5,10818,10991,3880,45.6,29.9,1,2,,1999-2003,25,-1111,-1111,-1111,34,29,-1111,-1111,36,32,-1111,-1111
